,going left to right per row and then going down each row; the jumping back to column 0 of row i+1,,,,,,,,,,,,,,,
,Location ,time batch (per 15 seconds),,,,,,225,,,,,,,,
row,column,ppk control 1 15 min at 4x speed 3min 52 sec,,,,,,,,,Time per entry,,average time,,,
,,2:35,2:38,,155,158,,620,632,,12,,,,,
,,2:35,2:38,,155,158,,620,632,,12,,,,,
5,7,0:23,0:24,,23,24,,92,96,,4,,10.66666667,,,
,,1:10,1:12,,70,72,,280,288,,8,,,,,
,,1:41,1:48,,101,108,,404,432,,28,,,,,
,,1:46,1:49,,106,109,,424,436,,12,,,,,
,,2:05,2:07,,125,127,,500,508,,8,,,,,
,,2:07,2:09,,127,129,,508,516,,8,,,,,
,,2:12,2:15,,132,135,,528,540,,12,,,,,
,,2:33,2:35,,153,155,,612,620,,8,,,,,
,,2:34,2:36,,154,156,,616,624,,8,,,,,
5,8,0:17,0:20,,17,20,,68,80,,12,,11.5,,,
,,0:29,0:32,,29,32,,116,128,,12,,,,,
,,0:31,0:34,,31,34,,124,136,,12,,,,,
,,1:48,1:52,,108,112,,432,448,,16,,,,,
,,2:30,2:33,,150,153,,600,612,,12,,,,,
,,3:05,3:07,,185,187,,740,748,,8,,,,,
,,3:37,3:38,,217,218,,868,872,,4,,,,,
,,3:41,3:45,,221,225,,884,900,,16,,,,,
5,9,0:28,0:31,,28,31,,112,124,,12,,6,,,
,,1:23,1:25,,83,85,,332,340,,8,,,,,
,,1:57,1:58,,117,118,,468,472,,4,,,,,
,,3:01,3:02,,181,182,,724,728,,4,,,,,
,,3:04,3:05,,184,185,,736,740,,4,,,,,
,,3:38,3:39,,218,219,,872,876,,4,,,,,
5,10,0:16,0:18,,16,18,,64,72,,8,,10.66666667,,,
,,0:22,0:24,,22,24,,88,96,,8,,,,,
,,2:57,3:01,,177,181,,708,724,,16,,,,,
6,1,0:20,0:27,,20,27,,80,108,,28,,13.33333333,,,
,,1:43,1:44,,103,104,,412,416,,4,,,,,
,,2:20,2:22,,140,142,,560,568,,8,,,,,
6,2,0:37,0:40,,37,40,,148,160,,12,,3,,,
6,3,0:02,0:04,,2,4,,8,16,,8,,13.33333333,,,
,,1:05,1:09,,65,69,,260,276,,16,,,,,
,,3:14,3:18,,194,198,,776,792,,16,,,,,
6,4,0:00,0:01,,0,1,,0,4,,4,,6.666666667,,,
,,0:03,0:04,,3,4,,12,16,,4,,,,,
,,1:04,1:06,,64,66,,256,264,,8,,,,,
,,1:28,1:30,,88,90,,352,360,,8,,,,,
